Beer Name,Beer Rating,Beer URL
Other Half Space Diamonds,3.9,https://www.ratebeer.com/beer/other-half-space-diamonds/480837/101044/
Lervig Rackhouse - Paragon 2022,4.3,https://www.ratebeer.com/beer/lervig-rackhouse-paragon-2022/1155383/166277/
Other Half Triple Citra Daydream,4.1,https://www.ratebeer.com/beer/other-half-triple-citra-daydream/627676/101044/
Other Half All Citra Everything,3.6,https://www.ratebeer.com/beer/other-half-all-citra-everything/462818/223563/
Tired Hands Ourison,3.5,https://www.ratebeer.com/beer/tired-hands-ourison/372558/145812/
Schneider Weisse Tap X Mein Cuvée Barrique,3.5,https://www.ratebeer.com/beer/schneider-weisse-tap-x-mein-cuvee-barrique/180392/269141/
Godspeed Nonbe,3.8,https://www.ratebeer.com/beer/godspeed-nonbe/660531/195/
Weihenstephaner / St. Bernardus Braupakt Blonde Ale,3.8,https://www.ratebeer.com/beer/weihenstephaner-st-bernardus-braupakt-blonde-ale/1183097/24501/
Boulevard Joker's Wit,3.7,https://www.ratebeer.com/beer/boulevard-jokers-wit/1097473/36846/
Deschutes Fresh Squeezed IPA,4.7,https://www.ratebeer.com/beer/deschutes-fresh-squeezed-ipa/119596/92202/
Fuller's Vintage Ale 2016,4.0,https://www.ratebeer.com/beer/fullers-vintage-ale-2016/440615/74136/
Schneider's Bayrisch Hell,3.4,https://www.ratebeer.com/beer/schneiders-bayrisch-hell/909673/138581/
Ayinger Festmärzen,4.0,https://www.ratebeer.com/beer/ayinger-festmarzen/2718/738128/
Firestone Walker ParAmburana,3.9,https://www.ratebeer.com/beer/firestone-walker-paramburana/1193895/12252/
Kingpin Ripper,3.7,https://www.ratebeer.com/beer/kingpin-ripper/1200633/377231/
Aecht Schlenkerla Weichsel Rotbier,3.7,https://www.ratebeer.com/beer/aecht-schlenkerla-weichsel-rotbier/1120814/327995/
BFM Abbaye de Saint Bon-Chien (2013),4.2,https://www.ratebeer.com/beer/bfm-abbaye-de-saint-bon-chien-2013/263937/102118/
Firestone Walker 26 (XXVI Twenty-Sixth Anniversary Ale),4.2,https://www.ratebeer.com/beer/firestone-walker-26-xxvi-twenty-sixth-anniversary-ale/1057519/60778/
Fremont Dark Star,3.6,https://www.ratebeer.com/beer/fremont-dark-star/136967/741642/
Sierra Nevada / Brauerei Gutmann Oktoberfest (2024),4.0,https://www.ratebeer.com/beer/sierra-nevada-brauerei-gutmann-oktoberfest-2024/1214766/23985/
Tilted Barn Lawn Boy Barn Lager,3.5,https://www.ratebeer.com/beer/tilted-barn-lawn-boy-barn-lager/921324/35148/
Verdant Tiny Science,4.0,https://www.ratebeer.com/beer/verdant-tiny-science/1214739/111989/
Ayinger Celebrator Doppelbock,3.7,https://www.ratebeer.com/beer/ayinger-celebrator-doppelbock/1090/673249/
Hoppin' Frog Gangster Frog IPA,3.7,https://www.ratebeer.com/beer/hoppin-frog-gangster-frog-ipa/208513/346369/
Mount Saint Bernard Abbey Tynt Meadow English Trappist Ale,3.8,https://www.ratebeer.com/beer/mount-saint-bernard-abbey-tynt-meadow-english-trappist-ale/632707/87707/
AleSmith IPA,3.6,https://www.ratebeer.com/beer/alesmith-ipa/14396/79953/
Trillium Congress Street IPA,3.9,https://www.ratebeer.com/beer/trillium-congress-street-ipa/232181/295172/
Five Points Best Fuggle Hops,4.0,https://www.ratebeer.com/beer/five-points-best-fuggle-hops/735847/435357/
Tree House Bright,4.3,https://www.ratebeer.com/beer/tree-house-bright/393374/134671/
WeldWerks Starry Noche (2021),4.4,https://www.ratebeer.com/beer/weldwerks-starry-noche-2021/952379/355741/
Rodenbach Vintage,3.8,https://www.ratebeer.com/beer/rodenbach-vintage/112249/79953/
Goose Island Bourbon County Stout - Double Barrel Toasted Barrel,4.2,https://www.ratebeer.com/beer/goose-island-bourbon-county-stout-double-barrel-toasted-barrel/969186/68157/
Vinohradský Vinohradská 12°,3.0,https://www.ratebeer.com/beer/vinohradsky-vinohradsk-a-12°/479002/594586/
De la Senne Brett Porter,3.8,https://www.ratebeer.com/beer/de-la-senne-brett-porter/1106481/165781/
Sierra Nevada / Kehrwieder Oktoberfest Festbier (2023),3.7,https://www.ratebeer.com/beer/sierra-nevada-kehrwieder-oktoberfest-festbier-2023/1131590/11056/
Baladin Xyauyù Fumé (Islay Whisky),3.7,https://www.ratebeer.com/beer/baladin-xyauyu-fume-islay-whisky/188066/79953/
Tree House Julius,3.7,https://www.ratebeer.com/beer/tree-house-julius/201804/3019/
De la Senne Wadesda #9,3.6,https://www.ratebeer.com/beer/de-la-senne-wadesda-9/1163977/398597/
Monsters / Yakima Chief/ Browamator Trial 702.1,3.8,https://www.ratebeer.com/beer/monsters-yakima-chief-browamator-trial-7021/1185613/83890/
Drake's IPA,3.7,https://www.ratebeer.com/beer/drakes-ipa/8935/117914/
Rodenbach Vintage,4.2,https://www.ratebeer.com/beer/rodenbach-vintage/112249/358150/
Lost Abbey Veritas 018,3.9,https://www.ratebeer.com/beer/lost-abbey-veritas-018/474431/51023/
Sante Adairius Cask 200,4.5,https://www.ratebeer.com/beer/sante-adairius-cask-200/224892/51023/
Bellwoods Brettal Head Foeder Aged Pale Ale (2020-),3.8,https://www.ratebeer.com/beer/bellwoods-brettal-head-foeder-aged-pale-ale-2020-/886453/247503/
Founders The Headless Gourdsman,4.6,https://www.ratebeer.com/beer/founders-the-headless-gourdsman/1130259/31007/
Fiddlehead Second Fiddle,3.8,https://www.ratebeer.com/beer/fiddlehead-second-fiddle/221269/22626/
Pipeworks Lizard King,3.6,https://www.ratebeer.com/beer/pipeworks-lizard-king/312611/408110/
"Duvel 6,66% Blond",3.4,https://www.ratebeer.com/beer/duvel-666-blond/893728/432223/
Duvel Tripel Hop Citra,3.7,https://www.ratebeer.com/beer/duvel-tripel-hop-citra/496011/88264/
Trappistes Rochefort Triple Extra,3.6,https://www.ratebeer.com/beer/trappistes-rochefort-triple-extra/863099/355741/
Hoppin' Frog TORIS The Tyrant Triple Oatmeal Stout,3.9,https://www.ratebeer.com/beer/hoppin-frog-toris-the-tyrant-triple-oatmeal-stout/444130/331587/
Revel Cider Soma,3.5,https://www.ratebeer.com/beer/revel-cider-soma/657703/165781/
The Kernel Lagerbier,3.6,https://www.ratebeer.com/beer/the-kernel-lagerbier/1199291/128401/
De la Senne Bruxellensis,4.1,https://www.ratebeer.com/beer/de-la-senne-bruxellensis/426608/161428/
Schneider LaBrassBanda Love Beer,3.4,https://www.ratebeer.com/beer/schneider-labrassbanda-love-beer/1011498/385896/
Trillium Fort Point Pale Ale,3.7,https://www.ratebeer.com/beer/trillium-fort-point-pale-ale/213478/68931/
The Kernel India Pale Ale Galaxy,3.4,https://www.ratebeer.com/beer/the-kernel-india-pale-ale-galaxy/154862/3722/
Hoppin' Frog Barrel Aged BORIS The Crusher,4.2,https://www.ratebeer.com/beer/hoppin-frog-barrel-aged-boris-the-crusher/99410/346369/
Buxton Right To Roam,3.5,https://www.ratebeer.com/beer/buxton-right-to-roam/923213/72774/
Trillium Upper Case,4.1,https://www.ratebeer.com/beer/trillium-upper-case/322323/368991/
Cloudwater The Realest,3.8,https://www.ratebeer.com/beer/cloudwater-the-realest/884476/414177/
Cloudwater Weiße,3.5,https://www.ratebeer.com/beer/cloudwater-weisse/957493/414177/
Trillium Big Bird,3.9,https://www.ratebeer.com/beer/trillium-big-bird/527140/120893/
Trillium Fort Point Pale Ale,4.0,https://www.ratebeer.com/beer/trillium-fort-point-pale-ale/213478/111918/
Ayinger Festmärzen,3.2,https://www.ratebeer.com/beer/ayinger-festmarzen/2718/148291/
Rogue Dead 'N' Dead,3.8,https://www.ratebeer.com/beer/rogue-dead-n-dead/550478/6661/
Cigar City Hunahpu's Imperial Stout - Apple Brandy Barrel Aged,3.5,https://www.ratebeer.com/beer/cigar-city-hunahpus-imperial-stout-apple-brandy-barrel-aged/119354/742769/
Off Color Waddle,3.9,https://www.ratebeer.com/beer/off-color-waddle/548124/170041/
Trillium Congress Street IPA,4.0,https://www.ratebeer.com/beer/trillium-congress-street-ipa/232181/368991/
The Bruery Or Xata (2015-),3.8,https://www.ratebeer.com/beer/the-bruery-or-xata-2015-/319290/212915/
Schneider Weisse Tap 01 - Helle Weisse (2020-),3.5,https://www.ratebeer.com/beer/schneider-weisse-tap-01-helle-weisse-2020-/976147/229658/
O/O #300 Crystal,4.2,https://www.ratebeer.com/beer/o-o-300-crystal/1022545/132002/
Founders Frootwood,3.8,https://www.ratebeer.com/beer/founders-frootwood/478752/355741/
Wolverine State Barista Coffee Lager,3.8,https://www.ratebeer.com/beer/wolverine-state-barista-coffee-lager/203198/355741/
Tripel Karmeliet,4.4,https://www.ratebeer.com/beer/tripel-karmeliet/5368/745323/
The Alchemist Heady Topper,3.5,https://www.ratebeer.com/beer/the-alchemist-heady-topper/32329/79953/
Moonlight Reality Czeck,3.4,https://www.ratebeer.com/beer/moonlight-reality-czeck/49938/89413/
Fremont B-Bomb,4.1,https://www.ratebeer.com/beer/fremont-b-bomb/114487/89413/
Bottle Logic Scatter Signal,4.2,https://www.ratebeer.com/beer/bottle-logic-scatter-signal/886173/89413/
Founders Ultimate Oktoberfest,4.2,https://www.ratebeer.com/beer/founders-ultimate-oktoberfest/1039214/221467/
Founders Ultimate Oktoberfest,3.8,https://www.ratebeer.com/beer/founders-ultimate-oktoberfest/1039214/31748/
Founders Oktoberfest,3.6,https://www.ratebeer.com/beer/founders-oktoberfest/17294/31748/
North Coast Old Rasputin (Bourbon Barrel),4.1,https://www.ratebeer.com/beer/north-coast-old-rasputin-bourbon-barrel/71101/60778/
Oskar Blues Ten FIDY - Bourbon Barrel Aged,4.4,https://www.ratebeer.com/beer/oskar-blues-ten-fidy-bourbon-barrel-aged/372163/86560/
Sierra Nevada / Brauerei Gutmann Oktoberfest (2024),3.9,https://www.ratebeer.com/beer/sierra-nevada-brauerei-gutmann-oktoberfest-2024/1214766/120804/
Schneider LaBrassBanda Love Beer,3.5,https://www.ratebeer.com/beer/schneider-labrassbanda-love-beer/1011498/43796/
The Alchemist Heady Topper,4.2,https://www.ratebeer.com/beer/the-alchemist-heady-topper/32329/31007/
Allagash White,4.0,https://www.ratebeer.com/beer/allagash-white/3014/368991/
Hill Farmstead Double Nelson,4.4,https://www.ratebeer.com/beer/hill-farmstead-double-nelson/480361/38859/
