beer_name,overall_rating,translated_comment
Aecht Schlenkerla Rauchbier Urbock,4.0,"50cl bottle, a few months past is bbd. pours very dark ruby with off-white head. smoke on the nose. palate: gentle smoke, caramel, hopbitters, a tiny sweetness: all in a lovely balanced way. my first rauchbier, taste like more."
Aecht Schlenkerla Rauchbier Urbock,4.0,"50 cl. bottle @ home, served in a teku glass, best before: 2023/11.

aroma: medium intensity aromas of smoke, firepit, smoked wood, hints of toasted malts, caramel, caramel malts.

appearance: dark copper color with very light brown head made of small bubbles, some of them grow up very slowly to become medium sized ones, high head thickness, extremely high retention, low haziness, high brussels' lacing.

taste: low to medium sweetness, low to medium bitterness, no sourness. flavors of smoked wood, firepit, smoke, smoked ham, smoked bacon, hints of toasted malts, caramel, burnt caramel, caramel malts. very well balanced.

mouthfeel: medium body, watery to silky texture, medium carbonation, very long dry finish with low to medium sweetness and bitterness and the aforementioned flavors. alcohol is not very high, very well hidden, not noticeable in the aroma or flavor and only noticeable because of a low to medium mouth and throat warming. astringency is not noticeable. hop burn is not noticeable.

overall: very good appearance, aromas and flavors of smoke, smoked wood, firepit, smoked ham, smoked bacon, smoked malts, toasted malts, caramel, caramel malts, burnt caramel. very drinkable, nice mouthfeel, very good beer."
Aecht Schlenkerla Rauchbier Urbock,4.0,"after the smell of the dzonka, oscypek. noble.
in appearance quite dark, brown. super durable, beige foam, fine.
in taste lots of dzonka, quite light for this style, low bitterness.
very good beer."
Aecht Schlenkerla Rauchbier Urbock,4.0,"In its dark chestnut brown, the Schlenkerla Urbock really does look very rustic. The light brown head is very creamy, but disintegrates quite quickly until only a thumb's width of foam remains. Without even having to raise the glass to your nose, you are immediately greeted by a divine smoky bacon note. In the velvety soft first sip, I come across a mixture of rich, sweet dark malt, roasted malt, espresso and cocoa, while the mild hoppy bitterness lingers in the background throughout. The significant smokiness becomes more apparent towards the middle, to the detriment of the dry, roasted taste. With a mild effervescence, the Schlenkerla Urbock is full-bodied to the typical Bock fat. In the finish, a dry malt bitterness meets an increasing, slightly salty smokiness towards the end. I had a deep and finely composed bock with a consistent, solid smokiness in my glass. Very good!"
Aecht Schlenkerla Rauchbier Urbock,4.0,"bottle. clear hazelnut brown color, fine beige head. nice, smoked ham, malty open fire aroma. medium dry, medium bitter taste. nutty, malty, not overwhelming smoky aftertaste. full body, silky mouth feel."
Aecht Schlenkerla Rauchbier Urbock,4.0,"drank on 02/02/2023 @home. kind gift from franco. 
monk's robe. beige foam, creamy, with many very fine-grained bubbles and medium-persistent. on the nose hints of smoke, scamorza, smoked meat. on the palate malt, caramel, smoked aftertaste of speck and scamorza. good body

drank on 01/20/2024 @home. 50cl bottle purchased on the schlenkerla website. monk's robe. abundant beige foam, creamy, soft, compact, with many very fine-grained bubbles and medium-persistent. on the nose inebriating aroma of smoked scamorza and speck. on the palate entrance of caramel, malt, honey, then emerges the smoky note that is very reminiscent of scamorza. good body. medium-high carbonation."
Aecht Schlenkerla Rauchbier Urbock,4.0,"50cl bottle. Very dark brown colour and a generous cream-coloured foam layer. The smoke of burnt wood dominates the aroma of this beer, in which caramel can also be distinguished. In the mouth, the wood smoke appears again but is perfectly balanced with the notes of toffee, molasses and dried fruits."
Aecht Schlenkerla Rauchbier Urbock,4.0,"You could say that this beer burst into my life insolently. Although its appearance and aroma were attractive (elegant dark brown, with a nice and firm layer of beige foam, notable fragrance of toasted malt, whole wheat bread, smoked bacon, mmmh), after the first sip I didn't know if I was tasting a beer or licking an ashtray!, ugh! 
tremendously aggressive, rough, astringent, dry... and with that marked note of... ashes!!?, the first sip hit me right in the mouth. definitely complex... although each new sip was disconcertingly more and more pleasant. My mother, who was tasting a beer of this style for the first time, like me, after the first two sips refused to continue drinking from her glass, she pushed it away with a disgusted face, but I remained there as if hooked, fascinated by this concoction, what I had just tasted was something unique and different, by the fifth or sixth sip I almost perceived it as a work of art. 
Weeks after tasting it, the memory of its flavor and aroma still remained in my mind, I am burning with desire to try it again, I know that I need to try it again."
Aecht Schlenkerla Rauchbier Urbock,4.0,"dark brown colour, frothy head that stays for a while. nose is smoked sausage. mouth is less smoked, with dried plum, caramel, leather. medium sweetness, light bitterness. not too heavy. easy to drink. fantastic."
Aecht Schlenkerla Rauchbier Urbock,4.0,"16.9 oz. bottle poured to a tulip at lunar brewing co., showing a clear, amber/brown color, with a fluffy layer of tan froth, and ribbons & spots of lacing. the nose was campfire/meaty smokiness, expressively toasted malt, a touch of caramel sweetness, and a bit of dried fruit. better than medium bodied, the taste was similar notes, with good carbonation, appropriate alcohol, continued smoke, toast & tannins bitterness, and some dryness to the finish. nicely balanced rauchbier & bock qualities."
Aecht Schlenkerla Rauchbier Urbock,4.0,"bottle from hops and crafts exeter. pours clear ruby with a light beige head. aroma of smoke bacon, ash, burnt toast, caramel and wholemeal bread. taste of more smoked malt, smoky crispy bacon ,caramel , molasses, wholemeal bread, burnt toast. medium bodied with a smooth mouthfeel and ok carbonation. the finish is dry and on the bitter side of bittersweet with more smoked malt , toast , bacon, caramel & wholemeal bread ."
Aecht Schlenkerla Rauchbier Urbock,4.0,"07/2023
smoked aroma, smoked ham, oscypek.
beige head, clear, dark tea color, amber.
smoky taste, sweet sour, smoke taste.
medium carbonation, medium body, smoky finish, smooth.
overall nice beer, good sour, but this smoked one gets boring and annoying later."
Aecht Schlenkerla Rauchbier Urbock,4.0,"bottle, shared at thanksgiving after a delicious meal, songs, guitars, and beer. dark (of course). smoked bacon, caramel, malt (both in taste and smell). smooth, creamy, round, chewy. very drinkable. 
don t know why i forgot to rate that one the last times i had it."
Aecht Schlenkerla Rauchbier Urbock,4.0,"appearance: dark with brown highlights, beige fine-bubble head - leaves a ring, nice lacing
aroma: medium-high intensity, a bit of sweetness, smoke, focal smokiness, then melanoidins, bread crust
taste: medium fullness, not smooth, a bit of sweetness, smoke, focal smokiness, then melanoidins, bread crust, short medium-low bitterness, medium-low carbonation"
Aecht Schlenkerla Rauchbier Urbock,4.0,"appearance: dark brown, lively tan head
aroma: malt, smoky caramel
palate: medium full, medium.gigh carbonation
taste: strong smokey flavour, bacon, malt,"
Aecht Schlenkerla Rauchbier Urbock,4.0,"color: super dark brown
smell: strong smoky noses. smell of burning
taste: 
from start to finish, smoky taste fully filled my mouth.
mouthfell was so gentle. and after swallow, sweetness appear.
this taste remarkably long finish so feels like put dark chocolate on my tongue."
Aecht Schlenkerla Rauchbier Urbock,4.0,"ruby chestnut color, clear. beige head, high, durable. leaves no decorations.
aroma very strong, intense, distinct notes of smoked sausages (smoked sausage, bacon, meat) stimulate imagination and taste buds. bomb.
taste sweet and sour, melanoids, bread and herbal bitterness and light, ""wholemeal"" sourness.
medium carbonation plus. plenty of body, liquid is thick, soft, smooth. its texture gives the impression of being fat, which perfectly matches the smoked character (aroma) of this beer."
Aecht Schlenkerla Rauchbier Urbock,4.0,"brown, clear, ecru foam, fine and medium, leaves a lasting layer that permanently decorates the glass. pleasant aroma in the oscypek type. sweetness in taste, sour fullness, toasted pastry crust, light fruit and smoke notes. slightly toasty finish, complemented by a hint of pumpernickel sourness. medium carbonation. very good."
Aecht Schlenkerla Rauchbier Urbock,4.0,"taken while making easter eve s supper, nice smoked yet even more rich and bacony than the others, nice drink."
Aecht Schlenkerla Rauchbier Urbock,4.0,"0.5 bottles. beautiful onion, birch, Dundi veg, with old cymbals. cap level n. the gray and white are tall, with gray and white foam, which is huge and lasts for a long time. the smell is wonderful and the smell of incense is mixed with licorice - but there is also a hint of astringent dried fruit and ginger. sip - as if a very fine thick rosé föst ltkolb st r gcs is sitting on a desk with a cold beer in the mouth at the same time. whole coal is not necessary, but you can drink it. full-bodied, delicate, special. the foam remains fantastically beautiful p, s r , v gig almost a centimeter thick. you don't have to do it, you have to do it!!!"
Aecht Schlenkerla Rauchbier Urbock,4.0,"intense aroma, strongly smoked, beech, leafy smoke, salty, full, pleasant, smoked dried fruit, roasted soda, caramel, in the background bourbon and light sweet kefir from caramelized milk. ruby ​​color, clear, nice, beige foam, medium abundant, tries to last. full in taste, soda, caramel, roasted. a lot of moist earth, coal, mass of smoked flavors, light molasses and light tar, dried fruit, in the background bourbon and plums. moderate bitterness, toasted, smoked, alcoholic with light notes of wood and herbs. in the mouth slightly warming and proper content, although despite this to light. high saturation"
Aecht Schlenkerla Rauchbier Urbock,4.0,"bottle. fresh cereal dominated by a juicy, smoked piece of ham. caramel, robust body, bock-style sweetness. flavour depth and drinkability at the same time. truly great."
Aecht Schlenkerla Rauchbier Urbock,4.0,"from bottle (bb june'22) in tulip. pours deep reddish brown w/a half inch of tan foam, aroma of smoked meat & aniseed. initial malt sweetness tempered by the smokey finish."
Aecht Schlenkerla Rauchbier Urbock,4.0,"aroma: meat-type smoked beer, burnt pastry base, melanoidins, plum, banana, toasted, light caramel, pupernickel, and also light buckwheat honey.

appearance: dark brown, ecru foam, unfortunately reduced to a thin layer.

taste: slightly sweetish, herbal bitterness marked, slightly lingering, dull.

mouthfeel: medium fullness, medium to high carbonation, slightly stringy.

generally: a beer that smoked beer lovers must try."
Aecht Schlenkerla Rauchbier Urbock,4.0,"aroma mainly smoky, smell of smoked ham, oscypek, campfire, ash notes. in the background caramel and dark bread.
taste p sweet, smoked ham still plays first fiddle, but there is also a distinct melanoidin note.
fullness medium high, carbonation medium low, bitterness medium low.
I liked this beer, although I prefer peated smoked ham more."
Aecht Schlenkerla Rauchbier Urbock,4.0,"bottle, 0.5l. deep ruby/brown pour, thin soapy off-white head, medium retention. minimal lacing on the glass. nice on the nose, toasted caramel, herbal and grassy notes. quite subtle smoke presence, surprisingly. mild charred wood and coal in the background.

medium body, soft to medium carbonation. smooth and soft mouthfeel, chewy texture, easily drinkable. balanced bittersweet taste with subtle smokiness to it. aroma of toasted caramel, mild smoked bacon. charred wood, coal, hints of grass. nutty and bready notes. long lasting finish, lingering bitterness, subtle smoke.

tasty."
Aecht Schlenkerla Rauchbier Urbock,4.0,"tasting of ""oaked drink"" without descriptive evaluation ........................."
Aecht Schlenkerla Rauchbier Urbock,4.0,"colour: copper, dark amber, clear. head: beige, abundant, fine-bubbled, falls lazily, decorates the glass very nicely. aroma: smoked, campfire, oscypek, notes of sweetness, slightly burnt bread crust. taste: to sweet, smoked, dark sweetness, notes of bread. medium carbonation, considerable body, not bad drinkability. very good beer."
Aecht Schlenkerla Rauchbier Urbock,4.0,"appearance: brownish head, medium-dark cherry, falling. clear, almost black, ruby. aroma: strongly smoky and smoked, smoked ham, oscypek. taste: smoky, smoked and salty. low carbonation and slight bitterness, but pleasant and drinkable."
Aecht Schlenkerla Rauchbier Urbock,4.0,"color: brown, beige foam, medium, long-lasting.

aroma: smoked, ham, dark bread, melanoidins, light plums and raisins.

taste: salty, bread, melanoidins, smoked, medium bitterness. medium body."
Aecht Schlenkerla Rauchbier Urbock,4.0,"my assessment is my subjective assessment and does not have to coincide with your assessment. keep that in mind. recommended distance.
instagram/czgr_"
Aecht Schlenkerla Rauchbier Urbock,4.0,"aroma of dark bread, burnt bread crust, light maltiness. color: dark ruby ​​turning into brown. foam a bit too high. more maltiness, fullness, dark sweetness. it's really good. the beer is complex and really drinkable"
Aecht Schlenkerla Rauchbier Urbock,4.0,"beer of red color, beige foam leaves lacing. in aroma of wok, soda, bread crust. in taste soda, caramel. very good beer!"
Aecht Schlenkerla Rauchbier Urbock,4.0,"color dark brown clear. foam abundant remowa. aroma smoked, taste smoked, there is caramel, toasted crust from bread delicate roastiness. sweeter in comparison to Marzena from Schlenkerli. bitterness srendia"
Aecht Schlenkerla Rauchbier Urbock,4.0,"pours dark brown with a firm white head. balanced smoky aromas and malty caramel notes, and hazelnut. balance between sweet and bitter with some lingering roasted and smoky notes. medium bod, medium stay. nice"
Aecht Schlenkerla Rauchbier Urbock,4.0,"500ml bottle brewed in germany at 6.5%. practically opaque muddy ruby with an ample, fair-duration head. fragrant woodchip smokiness, almost lightly floral atop a delicate caramel malt; hints of grass and bacon in the aroma. modest carbonation; big sleek body. raisin, toasted teacake, delicately smoked glazed meats and cheese, even a little liquorice, and a honeyed malt appearing in the aftertaste. this is one of bamberg's best and no mistake. really doesn't taste like a 'regular' beer with smoked malt, either, this really feels designed for it from the ground up."
Aecht Schlenkerla Rauchbier Urbock,4.0,"bottle 50cl home. big smoke flavor, bacon, caramel, bbq, sweeten, sticky, fairly smooth. (12-12-2021)."
Aecht Schlenkerla Rauchbier Urbock,4.0,"Clear reddish-brown color with a white foam head. Malty, fruity smell. Malty, smoky taste with ham, caramel and a little chocolate. Medium sweetness with a slight bitterness, full body with noticeable carbonation."
Aecht Schlenkerla Rauchbier Urbock,4.0,"50 cl bottle @ home. thanks to jan! pours brown with an off-white head. aroma and flavour are smoke, caramel, and toffee - with a smoked finish."
Aecht Schlenkerla Rauchbier Urbock,4.0,"on tap at arts and crafts amsterdam ave. pours dark brown. smoke, ham, pulled pork, chocolate, sweet chocolate malt, biscuit. medium body. good."
Aecht Schlenkerla Rauchbier Urbock,4.0,brown pour. smokey sausage aroma. smoked sausage flavour. medium bodied with a lingering smokey aftertaste.
Aecht Schlenkerla Rauchbier Urbock,4.0,"bottle at home, classic artwork. pours a cloudy dark mahogany, firm beige foamy and stable head. sugary malty tones, definite german dried fruity, herbal and yeasty bock notes, blending nicely with the smokey malt tones, bacon, smoked cheese and not too char or ashy, balanced and pleasant. linger is smoke upfront. medium body and carbonation."
Aecht Schlenkerla Rauchbier Urbock,4.0,"bottle at home in london. pours clear copper-red-brown with a creamy, beige head. gorgeous sauce, big dry smoke, candied ham, a little toasted caramel. medium bodied with massaging carbonation. lightly sweet finish, more smoked meat, ham, faint caramel, candied ham, mellow smoke. massively drinkable. outstanding."
Aecht Schlenkerla Rauchbier Urbock,4.0,"appearance: red-brown, clear, some sediment at the bottom, little foam, quickly disappears
smell: a lot of smoke (oak-peat smell, far from the smell of smoked meat), smoked plums, pumpernickel
taste: dry, slightly bitter, definitely smoky, drinks great, after drinking one, you immediately want another
smoke beers from schlekerli are the best smoke beers I've ever had."
Aecht Schlenkerla Rauchbier Urbock,4.0,"in the aroma caramel and delicate jar. sweet in taste with a similar profile as in the aroma. subtle and nicely composed, but lacking a specific counterpoint in the aftertaste. nevertheless a very good beer. one drinks almost in sessions."
Aecht Schlenkerla Rauchbier Urbock,4.0,"ruby beer with beige foam. in the aroma distinct smoke, some bread notes. in the taste sweet, smoked notes again in the first place, even slightly peaty, some toasted bread. here lacks a bit of fullness. bitterness low, but pleasantly balancing the whole thing."
Aecht Schlenkerla Rauchbier Urbock,4.0,"old rating - pint at the brewpub, june 2001. pours deep brown with a beige head. aromas & tastes of smoked meat, chocolate, caramel, earth, liquorice & roasted malt. medium body. sweet mildly bitter finish"
Aecht Schlenkerla Rauchbier Urbock,4.0,"500ml bottle from beer shop @rome, drinking it on 28/06/2021 evening bb 09/2021 pours very dark brown with red reflexes and nice big beige foam on top with good, kind of creamy-like lacing. nose is very smokey and malty. taste is dark roasted malt, caramel, toffee, licorice, very full and round taste and mostly bitter from malts, very warm and pleasant tasting with an incredible drinkability and sweet enough. very balanced at least for my taste it never overdoes it. medium body and just slightly watery but absolutely fine, so easy to drink. soft carbonation. this is one of my favorites for sure!"
Aecht Schlenkerla Rauchbier Urbock,4.0,"deep brown pour with a ruby/orange hue, thin beige head and spots of lacing with some bands  . aroma is of bacon, smoke, bbq, roasted malts, chocolate and caramel malts   taste is of smoked meats/bbq, caramel malts, little sweet/sugary, earthy, chocolate, roasted malts  . dry mouthfeel  . finish is of sweet caramel malts, roasted malts, earthy  . smoke and sweetness linger and stays in your mouth  . the meaty smoke flavor these guys have mastered is the way a rauchbier should be!"
Aecht Schlenkerla Rauchbier Urbock,4.0,"500ml brown bottle with beige foam, fine, tall, resistant. Aroma of toasted malt, smoked, bacon, cheese, black bread. Light sweetness with a bitter touch, it seems like an aroma. Very good."
Aecht Schlenkerla Rauchbier Urbock,4.0,"bottle, 330ml. pours very dark brown to black with a short gray head. nose is smokey and deeply malty. mouth feel is slick with an oily texture, not syrupy, full but a tad watery, gentle carbonation. taste is sweet with distinct malt sweetness, smokey upfront, gently bitter mostly from malts, low acidity. flavor are wood smoke, dark malt, dark roasted smokey malt, toffee, wood barrel, leather, dried apricot, caramel, malta, molasses, yeast fermentation, smoked meat, light and sweet chocolate liqueur, mellow acid. nice! just a bit too sweet and a tad watery. really not overly smokey and surprisingly easy drinking."
Aecht Schlenkerla Rauchbier Urbock,4.0,"many thanks to yantarcoast for delivering this classic.
appearance: foggy deep brown with ruby highlights, moderate ivory-coloured creamy head of good retention. beautiful lacing.
aroma: bacon, campfire, dark malts, green leaves, wood, cheese.
taste: smoke, caramel, toasted malt, bacon and cheese, dried fruit, bready notes, hop, distant treacle. light sweet. low to light bitterness. smoked mal and hop in the aftertaste.   
mouth feel: medium body. average carbonation.
bottom line: tasty. highly satisfying. big beer."
Aecht Schlenkerla Rauchbier Urbock,4.0,"bottle from yeme
pours amber with off-white head. gentle smoked character on nose, yup, this is bamberg!
malty, bacon, smooth smoked feel, hell of a tasty thing."
Aecht Schlenkerla Rauchbier Urbock,4.0,"clear, dark brown beer with a huge beige head that leaves a lot of lacing on the glass. 

sweet, smokey nose
taste of caramel malt, smoke, nuts, roasted malt, leather and dark syrup. 
medium body. sweet, nutty, light bitter ending.

great!"
Aecht Schlenkerla Rauchbier Urbock,4.0,"500 ml bottle. deep brown with a few bubbles, but not much. smells of eaty smoke, caramel malt, earthy hops. tastes a little sweet up front, cut by smoke, earthy hops, lightly spicy hops, then more caramel sweetness. finishes with equal parts smoke and caramel. medium body, maybe even medium heavy. despite being a little hefty for its size, it's very easy to drink. delicious."
Aecht Schlenkerla Rauchbier Urbock,4.0,"it's hard not to be delighted with these beers, the smell of a campfire and smoked ham, the taste of cola, light caramel and melanoidins... excellent!"
Aecht Schlenkerla Rauchbier Urbock,4.0,"bottle 0.5l: very dark, black, clear, very strong, stable, fine-pored foam; slightly fruity + very spicy nose, light malty-fruity sweetness, dark/pickled fruit, dried fruit, strong smoke aromas, bacon, smoked fish, malt, grain, sweet smoky-spicy bitterness; very spicy + smoky body, strong smoky-malty sweetness, dark/pickled/dried fruit, prunes, strong smoke aromas, bacon, malt, caramel, roasted grain, creamy, clear carbonation, red aromas; smoky-spicy aftertaste"
Aecht Schlenkerla Rauchbier Urbock,4.0,
Aecht Schlenkerla Rauchbier Urbock,4.0,"pours opaque mahogany with a thick khaki head. dissipates to a nice ring and good lacing. aroma is nutty, smoked wood, toffee, brown sugar. taste follows. medium bodied beer, very smooth. sweet after taste"
Aecht Schlenkerla Rauchbier Urbock,4.0,"brown color, clear, light beige foam, quite abundant, not very long-lasting. in the aroma in the pot, a bit like sausage and sausage, slightly ham. in the taste there are notes of wood, caramel, toast. apart from that in the pot meat. bitterness low, carbonation low, quite a lot of body. decent in the pot."
Aecht Schlenkerla Rauchbier Urbock,4.0,"excellent. a lot of smoke in the taste and aroma, but also a very pleasant sweet fullness, light caramel and roast, long finish, and all this is so satisfying. very interesting and good beer."
Aecht Schlenkerla Rauchbier Urbock,4.0,"color and head perfect for the style, beer incredibly smooth. aramot in the dzonki knocks."
Aecht Schlenkerla Rauchbier Urbock,4.0,"surprisingly fresh!

this urbock comes with a surprisingly light toasted smoked nosing. 
the colour is dark and intransparent as well as it s middle carbonized. it tests like dried plums and can be described as fruity which is in my opinion quite seldom for a beer like this. 
for me a real discovery from schlenkerla!"
Aecht Schlenkerla Rauchbier Urbock,4.0,a creamy mild beer with a hinge of nuts and caramel is fizzling your tongue.
Aecht Schlenkerla Rauchbier Urbock,4.0,"very intense, meaningful life. kv s, f st lt, bitter chocolate. on the road, there is a long ringing of the fireworks and the mixture. special life."
Aecht Schlenkerla Rauchbier Urbock,4.0,"500ml bottle from right hops in moscow. pours opaque brown with a small beige head. aroma is smoked wood, caramel, dried fruits. taste is medium sweet, smoked meat, chocolate and caramel. roasty bitter finish."
Aecht Schlenkerla Rauchbier Urbock,4.0,"dark copper color, beige foam, medium abundant, nicely sticks to the glass. the aroma is dominated by smoked beer. the taste is intense and complex with smoked beer, notes of ham, bass, smoked mackerel. the beer is full-bodied but well-drinkable, medium bitterness, medium carbonation."
Aecht Schlenkerla Rauchbier Urbock,4.0,"really great smoked bock. the sweetness of the bock goes well with the smoked, as does the weizen."
Aecht Schlenkerla Rauchbier Urbock,4.0,"bottle fr n sb. mahogany brown l with a beige foam. aroma of fresh charcuterie, ash and lighter caramel tones. the same appears in the taste together with wood and malt."
Aecht Schlenkerla Rauchbier Urbock,4.0,pretty much the standard for what a rauch should taste and smell like. the aroma for me is even better than it tastes. the taste is just a little too oozy sweet for me towards the end of the bottle. the aroma is just pure campfire and smoked eel goodness. a classic and deservedly so.
Aecht Schlenkerla Rauchbier Urbock,4.0,"bamberg one of those places on the map that i visited because of b.heller beers. c describes a historical beer, the best in dzonki. one of the must-try beers."
Aecht Schlenkerla Rauchbier Urbock,4.0,"appearance: brown, clear, beige, nice head. 
aroma: in a pot, campfire, ham, light caramel. 
taste: in a pot, campfire, wood, caramel. 
ps. very good, mega drinkable beer."
Aecht Schlenkerla Rauchbier Urbock,4.0,"beautiful foam, dark l hes light al p isem t n v ri. strong, but smoky aromas, rich toasty maltiness and mother aromas. nice and easy traditional German style smoked beer. smooth!"
Aecht Schlenkerla Rauchbier Urbock,4.0,"16.9-ounce bottle pours clear mahogany with ruby highlights and a 1.25"" fluffy tan head; lots of rapidly rising carbonation in glass. aroma: smoke, ash, caramelized brown sugar. flavor: dark brown sugar, molasses, wooden char, cigar, leather, raisin brown bread. mouthfeel: medium-bodied, slightly creamy."
Aecht Schlenkerla Rauchbier Urbock,4.0,chestnut brown colour with thin head. aroma and flavour have smoked meat and cigar ash. there's enough roasted malt and body to stand up to it though
Aecht Schlenkerla Rauchbier Urbock,4.0,"high head of beige color. dark brown and almost opaque. in the aroma of the pot, cereal notes, cake with raisins/plums. in the taste sweet with a large dose of campfire smoke. full. slightly burnt bottom of the cake, bread crust. delicate bitterness on the finish. extremely drinkable."
Aecht Schlenkerla Rauchbier Urbock,4.0,"dark ruby, turning brown, abundant beige foam.
in the aroma bread-like, in the jar going more towards bacon for me.
in the taste even more bread-like, even some delicate plum comes in, apart from that a lot of smoke, more sweet than in the smell.
in the aftertaste there is a slight bitterness, such smoky-herbal, maybe even some chocolate notes.
what more is there to write, schlenkerlowy urbock is a classic."
Aecht Schlenkerla Rauchbier Urbock,4.0,"bottle online from 'the trembling madness'.
pours a very dark brown almost black (coca-cola) colour with a huge thick creamy beige head. strong aromas of wood smoke, bacon and caramel. taste is fairly rich with more smokey notes, caramel, burnt bread and a little bit of plum and chocolate. lovely balance between sweet and bitter on the finish. full body, low carbonation with a very smooth silky mouthfeel. great beer again from these unique special brewers."
Aecht Schlenkerla Rauchbier Urbock,4.0,"very nice head, slightly beige, leaves nice lacing on the glass. darker color than I expected. in the aroma wonderful smoked notes, rather campfire than ham. apart from that aromas of sweet cake, toffee, something like milk chocolate. in the taste distinct but short bitterness, smoky-smoked, wooden aftertaste. very good beer, top rauchbock in."
Aecht Schlenkerla Rauchbier Urbock,4.0,"clear ruby ​​with brown foam. dense, persistent, sticking to the glass.

aroma of bread, cereal. elements of caramel, maybe even toffee. but all this covered with a wonderful jar.
in taste the same. tastes probably more than the March one. sweetness and this kolaka is more composed with smoked accents. wonderful beer."
Aecht Schlenkerla Rauchbier Urbock,4.0,dark brown color and white foam. balanced smoky aromas and malty caramel notes. moderate sweet and bitter with lingering roasted smoky notes. silky body. nice
Aecht Schlenkerla Rauchbier Urbock,4.0,"ruby color, clear. beautiful, high, beige foam that delicately coats the glass. in aroma distinctly smoked in ham-campfire type. further light grain coffee, bread crust, pumpernickel. in taste similar. at the beginning of course in the smoke - ham, campfire, a little coal, oscypek. further bread crust, grain coffee, pumpernickel. at the end gently gives in smoked fish. low bitterness. very good. I recommend."
Aecht Schlenkerla Rauchbier Urbock,4.0,"500ml @ alex's. bb dec-2020.
appearance: brown with a tan head.
aroma: smoky, a bit fruity.
taste: smoky, quite fruity, low to moderate sweetness, notes of smoked ham.
overall: good one."
Aecht Schlenkerla Rauchbier Urbock,4.0,"pours dark red/brown with white top. nose is warm smoke, oak barrel and malty. taste is light bitter, smoked wood like from an outdoor bon fire. notes of smoked meat, wet wood and rye. excellent!"
Aecht Schlenkerla Rauchbier Urbock,4.0,"pour a rich brown color with off white head. big smokey aroma and taste over a moderate malty forward body. 

notes: on tap at the brewery, bamberg oct  20"
Aecht Schlenkerla Rauchbier Urbock,4.0,"""modern tick"". 2021 tick update.
original date: 04-10-2020
50cl bottle @cimmeria, oviedo.
nice rauchbier, tasty, robust, intense smoked notes in nose and palate, some wood character as well, evrything well integrated. very enjoyable."
